order_id,customer_id,order_date,country,category,quantity,unit_price,discount,payment_method,customer_rating
ORD-004875,CUST-00286,2024-11-12 09:40:00,Germany,Electronics,8,847.65,0.2,Apple Pay,3.0
ORD-001026,CUST-00084,2025-09-11 12:22:00,Italy,Sports,2,166.25,0.0,Bank Transfer,3.0
ORD-003546,CUST-00947,2025-04-26 08:58:00,Italy,Home,3,500.0,0.1,Credit Card,3.0
ORD-003822,CUST-00017,2024-06-01 14:55:00,Belgium,Home,2,346.55,0.1,Credit Card,5.0
ORD-004395,CUST-00764,2024-01-26 12:23:00,Italy,Clothing,2,228.08,0.0,Bank Transfer,5.0
ORD-003423,CUST-00901,2025-04-01 13:21:00,Netherlands,Home,3,500.0,0.1,PayPal,2.0
ORD-002418,CUST-00391,2024-08-20 12:14:00,France,Books,1,35.68,0.0,Bank Transfer,5.0
ORD-001096,CUST-00121,2024-01-25 01:22:00,Italy,Clothing,1,245.59,0.05,Credit Card,4.0
ORD-004460,CUST-00981,2025-07-05 11:39:00,Germany,Clothing,3,163.35,0.15,Credit Card,3.0
ORD-000706,CUST-00848,2025-11-07 12:37:00,Spain,Electronics,4,679.09,0.0,Apple Pay,5.0
ORD-002375,CUST-01049,2025-10-05 09:16:00,France,Clothing,1,216.2,0.0,Credit Card,4.0
ORD-000531,CUST-00898,2024-01-08 23:22:00,Spain,Sports,2,254.37,0.1,Credit Card,2.0
ORD-000801,CUST-00019,2025-06-28 21:05:00,France,Books,1,66.92,0.0,Bank Transfer,
ORD-004525,CUST-01201,2025-03-18 20:04:00,Netherlands,Books,4,38.88,0.05,Apple Pay,3.0
ORD-001457,CUST-01477,2025-07-20 23:19:00,France,Books,3,51.87,0.2,PayPal,5.0
ORD-001392,CUST-00795,2025-01-04 10:54:00,Germany,Sports,4,340.39,0.1,PayPal,
ORD-003650,CUST-01107,2024-01-11 05:46:00,Germany,Electronics,1,607.94,0.2,Credit Card,4.0
ORD-003200,CUST-00398,2025-10-25 09:38:00,Germany,Electronics,1,241.71,0.0,PayPal,3.0
ORD-002672,CUST-01284,2025-11-20 06:02:00,Netherlands,Clothing,2,127.09,0.2,Credit Card,4.0
ORD-002813,CUST-00297,2025-01-18 15:21:00,France,Clothing,3,131.81,0.3,Credit Card,4.0
ORD-000066,CUST-00489,2024-10-24 22:56:00,Netherlands,Home,3,343.38,0.0,PayPal,4.0
ORD-000158,CUST-00836,2024-12-02 19:10:00,Italy,Clothing,4,79.7,0.0,Credit Card,3.0
ORD-003241,CUST-00314,2025-02-22 11:43:00,France,Clothing,6,53.2,0.2,PayPal,2.0
ORD-004102,CUST-01482,2025-11-24 20:58:00,France,Clothing,1,87.46,0.1,Apple Pay,5.0
ORD-000627,CUST-00508,2025-03-10 14:18:00,France,Clothing,1,85.31,0.1,Apple Pay,4.0
ORD-001966,CUST-01113,2024-09-14 17:32:00,France,Books,1,80.0,0.1,Bank Transfer,5.0
ORD-001439,CUST-00479,2024-03-22 02:59:00,Italy,Clothing,1,193.03,0.0,Credit Card,1.0
ORD-002241,CUST-00336,2024-12-09 14:34:00,Spain,Electronics,2,886.23,0.05,Credit Card,3.0
ORD-003014,CUST-01105,2025-02-08 12:59:00,France,Electronics,3,613.81,0.2,Credit Card,3.0
ORD-003907,CUST-01073,2024-01-18 03:48:00,Germany,Electronics,4,647.78,0.1,Credit Card,
ORD-003519,CUST-01018,2024-11-08 20:39:00,Germany,Home,2,113.69,0.1,Bank Transfer,4.0
ORD-000643,CUST-01282,2024-10-09 06:43:00,Italy,Clothing,3,146.46,0.0,PayPal,5.0
ORD-001927,CUST-00540,2024-07-30 22:12:00,Germany,Sports,2,238.85,0.1,Credit Card,5.0
ORD-002188,CUST-00387,2025-12-28 20:59:00,France,Sports,2,106.41,0.0,PayPal,4.0
ORD-000684,CUST-01439,2025-01-04 23:25:00,Belgium,Books,4,23.35,0.0,Bank Transfer,5.0
ORD-000677,CUST-00872,2024-11-21 22:53:00,Germany,Books,5,32.48,0.1,Apple Pay,4.0
ORD-001895,CUST-00202,2025-05-24 01:36:00,France,Electronics,7,415.58,0.0,Bank Transfer,5.0
ORD-001877,CUST-00350,2025-05-22 08:08:00,Italy,Home,3,500.0,0.0,Bank Transfer,3.0
ORD-001058,CUST-01159,2025-11-05 07:32:00,France,Books,1,54.28,0.0,Credit Card,
ORD-004850,CUST-01351,2025-02-02 10:46:00,France,Books,1,35.18,0.1,PayPal,4.0
ORD-003951,CUST-00566,2024-08-13 13:31:00,Belgium,Sports,1,374.75,0.1,PayPal,4.0
ORD-002836,CUST-00816,2025-07-22 14:54:00,France,Books,1,63.2,0.0,Credit Card,4.0
ORD-003140,CUST-00742,2024-05-06 08:37:00,Belgium,Clothing,1,173.81,0.0,Apple Pay,5.0
ORD-000297,CUST-01275,2025-04-30 06:44:00,Italy,Electronics,1,396.57,0.2,Bank Transfer,4.0
ORD-003363,CUST-00070,2024-07-04 23:28:00,France,Electronics,4,782.59,0.2,Credit Card,3.0
ORD-003605,CUST-01388,2024-10-03 14:57:00,France,Clothing,2,64.59,0.3,PayPal,3.0
ORD-004700,CUST-00036,2025-01-18 12:08:00,Germany,Home,3,457.92,0.05,Bank Transfer,4.0
ORD-004206,CUST-01211,2025-07-30 06:54:00,France,Books,6,80.0,0.3,PayPal,5.0
ORD-002381,CUST-00270,2024-08-31 22:04:00,Italy,Sports,2,176.84,0.0,Bank Transfer,5.0
ORD-001256,CUST-00128,2024-06-13 05:28:00,France,Electronics,1,980.8,0.0,PayPal,5.0
ORD-000169,CUST-00502,2025-01-24 20:06:00,Belgium,Electronics,2,352.45,0.0,Bank Transfer,3.0
ORD-004134,CUST-00754,2024-03-23 10:16:00,Spain,Home,1,148.17,0.05,Apple Pay,5.0
ORD-000030,CUST-00666,2024-07-01 03:31:00,Spain,Home,1,360.22,0.0,Credit Card,
ORD-001748,CUST-00566,2025-03-31 13:18:00,France,Sports,4,277.05,0.0,PayPal,3.0
ORD-004984,CUST-00604,2025-04-14 22:06:00,Spain,Home,2,316.55,0.1,PayPal,4.0
ORD-004980,CUST-00913,2024-05-11 04:31:00,Spain,Clothing,4,82.89,0.0,Credit Card,3.0
ORD-002112,CUST-01013,2024-07-06 14:53:00,Germany,Books,3,45.92,0.0,PayPal,
ORD-004816,CUST-00447,2024-12-18 01:22:00,Germany,Electronics,1,696.52,0.0,Credit Card,5.0
ORD-002811,CUST-00771,2024-10-07 20:37:00,Italy,Sports,5,214.06,0.1,Credit Card,5.0
ORD-002102,CUST-01002,2024-11-21 17:35:00,Germany,Home,1,500.0,0.0,Bank Transfer,2.0
ORD-001011,CUST-00404,2024-07-04 13:38:00,Spain,Clothing,2,205.86,0.0,PayPal,2.0
ORD-004631,CUST-00222,2024-10-17 06:08:00,France,Books,3,61.88,0.0,PayPal,5.0
ORD-000545,CUST-01247,2024-05-20 17:52:00,France,Books,1,41.31,0.0,Apple Pay,3.0
ORD-001742,CUST-01116,2025-03-23 18:45:00,Germany,Home,3,157.44,0.0,Bank Transfer,3.0
ORD-003732,CUST-01290,2024-02-26 20:31:00,Germany,Electronics,1,963.63,0.1,Apple Pay,2.0
ORD-004817,CUST-01309,2024-08-13 14:54:00,Italy,Clothing,2,171.04,0.1,Apple Pay,5.0
