surface,occupants,age,temperature,insulation,equipment_count,energy_consumption
1398.7,107,40.0,12.93,4,70,201842.0
1144.7,85,,7.04,5,50,133442.0
1459.1,97,34.0,10.6,5,53,222735.0
1809.2,114,11.0,12.25,4,73,218281.0
1106.3,80,80.0,11.96,4,40,173612.0
1106.3,77,94.0,18.23,2,56,173266.0
1831.7,131,7.0,12.37,2,11,308745.0
1507.0,106,95.0,8.99,2,91,308588.0
1012.2,77,52.0,11.26,3,86,145211.0
1417.0,89,29.0,7.06,3,78,234200.0
1014.6,80,7.0,11.3,99,67,118677.0
1013.7,69,50.0,9.42,99,53,145213.0
1296.8,107,79.0,13.79,99,83,218307.0
434.7,22,70.0,10.13,99,65,43374.0
510.0,51,5.0,11.21,99,52,36116.0
975.1,66,7.0,9.91,99,98,111659.0
794.9,46,40.0,15.85,4,43,99260.0
1325.7,83,29.0,10.7,4,39,242785.0
836.8,52,23.0,16.08,3,80,60391.0
635.1,46,28.0,13.54,2,79,31740.0
1786.3,124,80.0,12.71,3,64,300543.0
1109.7,68,92.0,12.42,1,76,205865.0
1227.0,81,,12.48,3,22,191394.0
630.1,63,90.0,6.68,3,12,114201.0
982.2,82,32.0,10.8,1,35,157317.0
1244.4,87,47.0,13.61,2,66,205150.0
739.6,49,22.0,11.38,5,33,103753.0
1350.3,91,64.0,7.99,5,62,171929.0
959.7,70,97.0,11.37,3,79,158931.0
1083.3,61,60.0,15.76,1,52,177650.0
959.3,61,35.0,14.62,2,69,112085.0
1940.9,112,64.0,11.34,3,67,373294.0
1194.6,83,12.0,13.88,5,58,128753.0
776.9,58,88.0,10.58,2,51,141961.0
1529.0,97,50.0,7.24,4,85,272214.0
711.7,63,44.0,9.19,2,75,102524.0
1283.5,73,58.0,15.41,5,20,128764.0
416.1,13,62.0,10.82,3,99,46164.0
668.7,46,7.0,10.89,4,27,94512.0
1278.7,95,68.0,10.75,3,94,206700.0
1495.4,116,24.0,16.26,3,61,190015.0
1268.5,79,71.0,15.56,2,55,226058.0
1153.7,87,82.0,17.05,2,53,172707.0
1079.6,71,80.0,11.1,5,31,153436.0
608.6,38,55.0,12.24,5,62,69129.0
912.1,69,52.0,7.71,4,68,165465.0
1015.7,74,14.0,15.19,3,39,184369.0
1622.8,92,77.0,8.58,4,17,302405.0
1337.4,103,27.0,12.04,1,66,247810.0
494.8,46,49.0,8.76,3,82,61184.0
1329.6,82,28.0,10.03,3,29,183670.0
1046.0,73,13.0,9.41,3,34,155674.0
929.2,66,62.0,9.98,3,28,155424.0
1444.7,98,5.0,10.15,2,14,200689.0
1612.4,101,74.0,10.13,3,84,276106.0
1572.5,98,31.0,13.58,4,88,240935.0
864.3,57,0.0,8.74,3,81,127387.0
1076.3,83,51.0,12.05,2,92,186678.0
1332.5,94,4.0,14.54,2,96,195837.0
1590.2,102,27.0,10.22,2,36,250803.0
1008.3,74,70.0,9.71,2,49,167390.0
1125.7,46,6.0,10.92,3,35,128979.0
757.5,61,83.0,14.45,3,36,157126.0
721.5,30,0.0,11.99,3,71,79371.0
1525.0,98,24.0,10.17,3,92,236458.0
1742.5,104,74.0,12.71,4,59,261349.0
1171.2,65,31.0,8.74,2,51,269431.0
1601.4,118,10.0,13.2,3,38,209967.0
1344.7,84,36.0,12.52,4,48,185926.0
942.0,66,27.0,10.73,2,69,155029.0
1344.6,89,84.0,9.4,2,50,263331.0
1815.2,125,31.0,9.28,4,42,316647.0
1185.7,79,78.0,12.84,3,92,239295.0
1825.9,108,89.0,14.57,3,92,319654.0
300.0,29,43.0,9.91,1,25,21841.0
1528.8,96,90.0,12.65,3,32,255640.0
1234.8,66,37.0,6.28,3,16,219727.0
1080.4,67,96.0,10.04,1,35,263716.0
1236.7,97,8.0,11.42,3,21,142788.0
405.0,35,68.0,9.23,2,81,102811.0
1112.1,70,49.0,9.16,3,14,187765.0
1342.8,86,38.0,9.83,1,78,254970.0
1791.2,116,63.0,12.23,2,58,304840.0
992.7,86,70.0,11.03,2,35,150791.0
876.6,62,0.0,5.9,1,14,168262.0
999.3,70,16.0,6.2,5,31,159902.0
1566.2,114,71.0,9.98,1,88,312732.0
1331.5,91,66.0,12.64,3,22,215432.0
988.1,63,96.0,4.63,2,37,194611.0
1405.3,91,76.0,10.25,3,42,204633.0
1238.8,81,95.0,10.18,5,32,225950.0
1587.5,105,70.0,14.97,2,27,272962.0
919.2,68,29.0,10.54,5,39,92600.0
1068.9,71,10.0,12.46,2,35,139123.0
1043.2,76,78.0,11.85,4,25,152416.0
614.6,40,64.0,6.17,3,86,75923.0
1318.4,88,4.0,13.42,4,48,153312.0
1304.4,66,36.0,12.04,3,42,171589.0
1202.0,89,95.0,12.77,3,35,194669.0
1106.2,77,50.0,21.32,2,57,121617.0
633.9,52,43.0,6.29,2,74,74351.0
