age,revenu_annuel,score_depense,frequence_achats,anciennete_mois,segment
26,46.8,35.4,6,5,Standard
46,24.8,60.0,1,20,Standard
44,43.9,26.9,8,16,Standard
35,26.0,28.0,6,23,Standard
50,23.7,46.5,7,10,Standard
24,33.2,25.3,4,12,Standard
41,37.2,20.5,1,8,Standard
62,100.3,75.3,29,36,Premium
36,32.7,13.0,2,19,Standard
39,24.9,27.5,14,18,Standard
64,104.3,90.9,34,55,Premium
42,38.0,5.7,1,9,Standard
36,111.1,88.7,24,66,Premium
26,34.2,46.8,12,19,Standard
32,62.4,68.0,42,67,Premium
65,72.9,61.3,48,47,Premium
51,150.0,84.0,23,69,Premium
33,93.1,81.9,40,35,Premium
47,107.1,82.2,24,58,Premium
53,90.3,72.3,35,119,Premium
53,46.9,12.1,1,1,Standard
50,97.2,72.1,20,56,Premium
40,38.9,42.5,12,20,Standard
69,99.6,63.9,47,25,Premium
31,24.6,18.7,9,3,Standard
62,91.2,73.4,26,90,Premium
53,84.7,75.1,24,92,Premium
47,81.1,72.7,39,73,Premium
19,21.5,33.1,10,18,Standard
45,38.4,18.1,3,20,Standard
31,94.3,80.5,31,56,Premium
22,28.0,20.0,3,2,Premium
28,45.9,30.2,7,20,Standard
54,99.5,80.6,36,114,Premium
58,60.0,86.8,49,35,Premium
29,36.3,32.1,4,3,Standard
37,111.7,85.0,49,97,Premium
32,28.8,26.5,6,2,Standard
37,102.5,100.0,44,39,Premium
19,19.2,24.9,2,8,Standard
37,103.0,90.3,45,104,Premium
38,34.9,29.3,2,3,Standard
38,26.2,33.8,6,23,Standard
37,50.0,17.1,13,3,Standard
41,60.0,23.6,5,9,Standard
49,101.2,78.9,49,63,Premium
28,22.3,40.8,6,7,Standard
43,44.7,29.8,11,16,Standard
51,100.3,97.7,24,118,Premium
45,93.5,100.0,45,84,Premium
67,68.6,86.9,33,103,Premium
56,105.2,75.2,45,31,Premium
47,29.6,43.9,12,11,Standard
54,46.0,34.1,5,16,Standard
62,119.1,77.6,38,24,Premium
20,19.9,1.0,8,1,Standard
49,85.5,75.3,24,115,Premium
33,32.9,45.3,1,17,Standard
40,144.4,80.8,41,27,Premium
56,83.7,64.8,38,113,Premium
64,65.1,73.5,35,56,Premium
20,43.8,38.9,3,7,Standard
21,43.3,32.6,11,9,Standard
67,109.1,100.0,29,110,Premium
65,97.7,86.3,45,74,Premium
43,67.1,88.5,23,88,Premium
46,71.2,76.7,45,52,Premium
19,43.0,9.9,6,16,Standard
38,30.9,26.5,2,5,Standard
32,33.4,19.0,11,4,Standard
54,73.1,72.8,33,47,Premium
42,43.9,38.1,11,16,Standard
25,29.7,25.2,1,19,Standard
45,42.5,25.6,11,20,Standard
67,112.7,89.2,39,58,Premium
59,101.4,67.4,21,25,Premium
39,40.8,26.3,7,7,Standard
62,72.3,60.0,35,66,Premium
41,100.3,73.5,41,35,Premium
41,42.7,36.0,5,1,Standard
64,88.5,69.2,49,107,Premium
