temperature,humidity,wind_speed,fine_particles,visibility,traffic_level,intervention
17.4,90.5,10.4,32.4,6.5,faible,non
6.7,83.4,8.1,29.6,8.0,moyen,oui
21.0,59.2,10.9,20.1,11.6,moyen,non
22.5,47.5,16.6,38.7,9.4,fort,oui
-0.6,25.5,17.4,37.1,3.7,fort,oui
4.6,61.8,4.0,30.2,7.5,fort,oui
16.0,100.0,7.6,18.2,12.5,fort,oui
12.5,76.5,4.8,31.9,7.5,fort,non
14.9,61.6,11.2,29.0,3.5,moyen,non
8.2,77.0,8.5,10.0,12.7,faible,non
22.0,46.6,13.5,7.9,9.7,faible,non
21.2,65.5,14.1,38.5,7.8,moyen,non
15.5,71.5,1.4,5.0,7.1,faible,non
24.0,68.7,10.8,33.1,10.7,faible,non
18.7,81.9,22.1,22.8,6.6,fort,oui
8.1,75.2,7.6,49.6,10.9,faible,non
18.0,80.0,7.4,22.6,9.4,fort,non
7.3,59.7,19.8,39.9,8.6,fort,oui
22.0,83.5,17.9,24.0,8.4,moyen,non
14.6,94.4,5.2,31.7,7.6,moyen,non
13.5,55.4,16.8,41.1,10.6,moyen,non
9.6,56.7,6.1,23.1,5.8,moyen,oui
24.8,90.0,7.3,44.9,3.9,faible,non
13.8,67.1,5.2,15.1,9.5,fort,non
11.6,91.1,4.0,34.4,9.6,moyen,non
12.2,63.4,11.7,43.8,9.2,faible,non
19.3,91.8,3.5,39.9,9.0,moyen,oui
17.9,72.0,12.0,58.7,7.2,moyen,non
18.3,73.9,11.7,18.5,10.0,moyen,oui
18.4,93.5,9.7,9.3,7.9,moyen,non
32.1,64.6,7.8,15.1,6.8,faible,non
11.7,55.9,6.7,39.9,7.2,moyen,non
10.9,63.3,4.7,37.5,13.1,faible,non
8.5,76.8,25.3,31.5,3.7,faible,non
19.9,46.5,9.4,13.2,9.2,faible,non
24.0,79.6,9.2,41.5,3.8,moyen,non
14.1,61.9,5.4,11.6,7.7,moyen,non
8.3,87.2,23.7,47.4,6.9,moyen,oui
8.4,34.1,7.1,72.9,2.8,faible,non
20.2,58.2,12.7,35.5,9.0,faible,non
20.9,44.7,14.3,38.7,7.0,moyen,non
19.3,57.6,11.7,22.6,2.8,faible,non
9.7,73.7,3.5,5.0,10.1,moyen,oui
16.9,67.3,16.4,21.0,11.6,fort,oui
15.9,66.2,7.0,13.6,11.7,moyen,non
16.7,67.6,17.8,8.3,8.9,fort,oui
22.0,73.1,10.3,55.8,8.1,faible,non
16.8,54.9,14.9,34.1,11.3,faible,non
20.4,80.6,22.8,35.7,12.2,moyen,oui
15.5,79.9,16.0,25.4,10.8,fort,non
17.3,75.8,15.1,27.4,5.6,fort,oui
20.1,78.3,16.9,44.5,8.5,faible,non
3.3,74.4,6.0,29.5,9.1,fort,oui
12.4,100.0,18.3,38.0,3.5,moyen,oui
11.2,68.7,9.0,27.1,9.2,moyen,non
9.9,65.4,9.2,24.9,13.7,faible,non
12.8,58.7,11.4,8.9,9.6,fort,oui
27.0,54.5,8.4,5.0,11.7,faible,non
8.1,51.3,5.1,26.1,8.5,fort,non
22.7,56.7,10.9,30.8,7.8,moyen,non
1.5,68.9,9.2,10.7,9.0,moyen,oui
12.3,75.0,9.0,29.5,6.0,moyen,oui
16.3,70.8,10.1,30.8,5.6,fort,oui
19.7,58.5,1.6,5.0,11.2,faible,non
20.7,83.5,9.0,16.3,11.4,faible,non
21.3,81.1,24.5,36.1,5.5,moyen,oui
12.2,67.6,23.4,35.8,10.4,moyen,oui
11.3,60.2,11.1,12.7,7.8,faible,non
21.9,78.2,10.9,32.4,8.8,faible,non
13.5,72.8,1.2,45.3,9.2,moyen,non
4.8,48.3,7.3,41.7,10.5,faible,non
5.9,69.0,16.7,28.6,8.2,faible,non
7.6,73.9,8.2,23.0,11.5,fort,oui
19.0,56.5,20.3,20.6,8.8,moyen,non
16.1,72.8,19.6,37.0,9.6,fort,oui
20.5,48.2,7.2,32.9,5.9,fort,non
11.6,90.0,11.7,39.4,13.4,faible,non
16.3,88.7,25.7,32.0,9.2,moyen,oui
20.0,66.2,3.4,42.3,9.8,moyen,non
12.5,75.5,8.4,31.4,4.0,moyen,non
18.7,33.9,3.1,41.8,5.9,faible,non
9.7,52.7,5.7,43.1,11.1,faible,oui
12.1,65.6,30.2,17.9,8.7,faible,non
11.9,53.9,8.4,5.0,3.2,moyen,non
5.4,80.7,2.0,53.2,10.6,fort,oui
18.9,100.0,5.0,33.8,6.6,moyen,non
11.2,52.4,2.8,5.0,11.5,moyen,non
15.1,57.4,12.0,19.3,7.8,fort,oui
18.8,73.5,14.2,41.6,8.5,moyen,oui
18.6,94.2,18.4,25.8,10.9,faible,non
20.3,51.7,16.2,22.3,5.8,fort,oui
14.2,73.7,3.5,51.0,5.5,moyen,oui
11.6,97.3,13.8,14.3,7.5,faible,non
14.4,45.2,9.8,18.0,10.1,moyen,non
1.5,50.8,20.1,33.2,4.7,fort,oui
3.4,63.6,17.3,35.9,3.8,faible,oui
4.4,62.2,32.6,37.4,10.1,moyen,oui
7.0,82.2,5.3,43.7,6.5,faible,oui
18.2,73.6,4.8,33.0,7.0,faible,non
7.8,43.4,7.6,37.3,3.4,faible,non
12.0,77.7,10.1,26.1,6.3,moyen,non
25.4,61.3,6.6,30.9,8.0,fort,oui
12.1,89.1,5.6,31.6,10.3,faible,non
20.9,60.6,13.2,33.2,6.1,faible,non
7.5,60.5,7.6,41.6,12.1,faible,non
13.4,78.1,6.4,38.3,6.3,faible,non
7.4,81.4,3.5,30.7,6.3,moyen,oui
12.3,76.7,1.3,17.9,11.8,moyen,non
21.7,44.7,23.8,31.0,8.5,moyen,non
1.2,78.1,23.4,29.6,6.6,moyen,oui
18.5,54.5,17.7,32.9,7.6,moyen,non
16.9,73.5,15.2,63.1,11.4,faible,non
10.2,48.6,7.1,22.1,11.7,faible,non
3.4,76.7,15.6,36.3,6.0,fort,oui
15.6,57.9,4.5,46.0,7.9,fort,oui
10.8,50.8,11.5,31.5,8.2,fort,oui
16.9,80.7,6.0,65.1,5.5,fort,oui
15.2,73.6,15.6,24.3,7.9,moyen,non
27.8,60.8,26.7,34.9,8.0,fort,oui
13.1,91.8,5.0,18.0,10.9,moyen,oui
6.8,63.4,7.4,24.7,11.0,faible,non
16.4,70.5,11.3,33.7,7.2,faible,oui
16.8,74.0,2.2,42.7,7.5,faible,non
25.9,60.7,2.9,34.8,9.7,faible,non
21.7,77.1,26.3,48.9,6.5,moyen,oui
17.9,62.0,13.2,28.6,9.5,moyen,non
26.7,63.8,6.8,25.0,7.8,fort,oui
5.5,90.4,10.6,70.6,5.6,moyen,oui
9.9,54.4,7.7,35.9,5.6,faible,non
7.6,33.8,11.6,19.2,11.6,moyen,non
11.9,94.2,7.9,19.6,7.6,moyen,non
4.0,100.0,10.0,15.9,12.1,faible,non
20.1,63.9,16.5,44.0,6.7,faible,non
13.2,40.9,15.8,24.5,8.7,moyen,oui
3.2,65.3,25.4,31.9,14.0,faible,non
6.9,65.7,13.8,29.0,5.4,fort,non
17.5,67.2,11.0,41.0,3.3,fort,non
21.7,53.3,27.7,17.3,11.2,moyen,oui
31.0,78.7,9.3,13.9,5.9,faible,non
38.3,77.9,1.4,33.4,7.9,fort,oui
18.3,47.6,17.8,39.0,6.5,moyen,non
7.1,80.5,12.8,35.0,8.7,faible,non
-2.1,100.0,10.7,17.9,5.6,moyen,oui
17.1,72.6,18.1,40.2,7.6,moyen,non
8.5,64.9,7.9,18.8,9.1,moyen,oui
11.7,67.9,1.5,22.2,5.5,faible,non
10.1,79.2,18.3,15.8,6.2,moyen,oui
13.9,44.0,6.7,49.5,7.1,faible,non
23.5,72.5,5.2,39.5,4.4,faible,non
16.3,64.1,1.6,39.1,6.9,faible,non
13.7,97.7,17.4,48.7,8.3,fort,oui
6.7,67.4,0.9,72.2,7.0,faible,non
1.6,95.0,22.7,5.0,7.3,moyen,oui
11.1,53.4,8.5,18.9,8.0,moyen,oui
14.6,78.8,17.9,20.8,6.4,fort,non
29.1,74.8,14.1,17.2,9.7,moyen,non
16.0,57.0,30.7,13.8,11.6,fort,oui
22.9,72.7,13.8,25.5,6.8,faible,non
11.0,88.2,22.2,11.8,9.2,faible,non
5.5,65.1,7.2,35.0,7.4,moyen,non
7.3,44.6,2.9,30.8,8.9,moyen,non
9.2,69.7,19.6,37.2,11.9,fort,non
32.0,56.5,2.8,37.6,9.3,fort,oui
8.4,64.9,17.3,39.0,3.6,moyen,non
21.7,68.8,4.7,24.4,9.1,fort,non
7.8,44.4,12.9,61.8,11.1,moyen,non
22.5,45.8,31.1,33.5,7.4,faible,non
18.1,77.2,16.4,5.0,10.5,moyen,non
